,title,description,type,rating
28,#AnneFrank - Parallel Stories,"Through her diary, Anne Frank's story is retold alongside those of five Holocaust survivors in this poignant documentary from Oscar winner Helen Mirren.",Movie,TV-14
29,#blackAF,"Kenya Barris and his family navigate relationships, race and culture while grappling with their newfound success in this comedy series.",TV Show,TV-MA
30,#cats_the_mewvie,"This pawesome documentary explores how our feline friends became online icons, from the earliest text memes to the rise of celebrity cat influencers.",Movie,TV-14
33,#realityhigh,"When nerdy high schooler Dani finally attracts the interest of her longtime crush, she lands in the cross hairs of his ex, a social media celebrity.",Movie,TV-14
34,#Roxy,A teenage hacker with a huge nose helps a cool kid woo a girl that he’s secretly in love with.,Movie,TV-14
35,#Rucker50,This documentary celebrates the 50th anniversary of the Harlem sports program that has inspired countless city kids to become pro basketball players.,Movie,TV-PG
36,#Selfie,"Two days before their final exams, three teen girls make a seaside getaway to end their adolescence with a bang.",Movie,TV-MA
37,#Selfie 69,"After a painful breakup, a trio of party-loving friends makes a bet: who can get married in three days.",Movie,TV-MA
38,แผนร้ายนายเจ้าเล่ห์,"When two brothers fall for two sisters, they quickly realize the age differences between them are too big to ignore.",TV Show,TV-14
39,"¡Ay, mi madre!","When her estranged mother suddenly dies, a woman must follow the quirky instructions laid out in the will in order to collect an important inheritance.",Movie,TV-MA
40,Çarsi Pazar,The slacker owner of a public bath house rallies his community to save it when a big developer comes to town to close it down and open a new mall.,Movie,TV-14
41,Ég man þig,"Young urbanites renovating a rundown house, and a psychiatrist grieving his son's disappearance, are connected to a supernatural, decades-old secret.",Movie,TV-MA
42,Çok Filim Hareketler Bunlar,"Vignettes of the summer holidays follow vacationers as they battle mosquitoes, suffer ruined plans and otherwise hit snags in their precious time off.",Movie,TV-MA
43,Òlòtūré,"In Lagos, a journalist goes undercover as a prostitute to expose human trafficking. What she finds is a world of exploited women and ruthless violence.",Movie,TV-MA
44,Æon Flux,"Aiming to hasten an uprising, the leader of an underground rebellion dispatches acrobatic assassin Aeon Flux to eliminate the government's top leader.",Movie,PG-13
45,Şubat,"An orphan subjected to tests that gave him superpowers is rescued and raised on Istanbul's streets, where he falls for a reporter linked to his past.",TV Show,TV-MA
46,1 Chance 2 Dance,"When an aspiring dancer is uprooted during her senior year of high school, she finds herself torn between two boys – and with one shot at her dream.",Movie,TV-PG
47,1 Mile to You,"After escaping the bus accident that killed his girlfriend, a high school student channels his grief into running, with the help of a new coach.",Movie,TV-14
48,10 Days in Sun City,"After his girlfriend wins the Miss Nigeria pageant, a young man faces unexpected competition of his own when he joins her on a campaign in South Africa.",Movie,TV-14
49,10 jours en or,"When a carefree bachelor is unexpectedly left in charge of a young boy, the two embark on a road trip that will change both of their lives.",Movie,TV-14
50,"10,000 B.C.",Fierce mammoth hunter D'Leh sets out on an impossible journey to rescue the woman he loves from a vicious warlord and save the people of his village.,Movie,PG-13
51,100 Days My Prince,"Upon losing his memory, a crown prince encounters a commoner’s life and experiences unforgettable love as the husband to Joseon’s oldest bachelorette.",TV Show,TV-14
52,100 Days Of Solitude,"Spanish photographer José Díaz spends 100 days living alone on a remote mountain, connecting to nature and documenting the beauty of his surroundings.",Movie,TV-MA
53,100 Humans,"One hundred hardy souls from diverse backgrounds participate in playful experiments exploring age, sex, happiness and other aspects of being human.",TV Show,TV-14
54,100 Meters,"A man who is diagnosed with multiple sclerosis responds by training for an Ironman triathlon, with his cranky father-in-law's help.",Movie,TV-MA
55,100 Things to do Before High School,"Led by seventh-grader C.J., three students who have been warned about the dangers of high school decide to make the best of their middle-school years.",Movie,TV-Y
56,100 Years: One Woman's Fight for Justice,This documentary chronicles Elouise Cobell's long fight against the U.S. government for the gross mismanagement of mineral-rich Native American land.,Movie,TV-14
57,100% Halal,"After high school, a young woman marries the man of her father's choice but soon faces the possibility that her religion considers the union invalid.",Movie,TV-14
58,100% Hotter,"A stylist, a hair designer and a makeup artist team up to give Britain's biggest fashion disasters some much-needed makeunders.",TV Show,TV-14
59,1000 Rupee Note,"After randomly receiving a handsome political bribe, a sweet, poor elderly woman decides to treat herself a shopping spree, which doesn't go smoothly.",Movie,TV-14
60,12 ROUND GUN,"Dealing with personal demons and the death of his son, a prizefighter attempts a return to the ring by challenging his rival to a 12-round rematch.",Movie,TV-MA
61,12 Years Promise,"A pregnant teen is forced by her family to leave her boyfriend and assume a new identity in America, but 12 years later, the couple reunites in Korea.",TV Show,TV-14
63,13 Reasons Why,"After a teenage girl's perplexing suicide, a classmate receives a series of tapes that unravel the mystery of her tragic choice.",TV Show,TV-MA
64,13 Reasons Why: Beyond the Reasons,"Cast members, writers, producers and mental health professionals discuss some of the difficult issues and themes explored in ""13 Reasons Why.""",TV Show,TV-MA
65,13 Sins,"A man agrees to appear on a game show with a $6 million prize. But as the challenges become more extreme, he realizes he's made a grave mistake.",Movie,R
66,13TH,"In this thought-provoking documentary, scholars, activists and politicians analyze the criminalization of African Americans and the U.S. prison boom.",Movie,TV-MA
68,14 Blades,"In the age of the Ming Dynasty, Quinglong is the best of the Jinyiwei, an elite assassin squad made up of highly trained former street urchins. When evil eunuch Jia unseats the emperor, Quinglong is called to action but is quickly betrayed.",Movie,R
69,14 Cameras,"Upping the “13 Cameras” ante, this sequel finds a family renting a vacation house that’s been customized to violate their privacy.",Movie,TV-MA
70,14 Minutes from Earth,A Google executive boldly attempts a death-defying mission to travel to space and free-fall back to Earth without a rocket.,Movie,TV-MA
71,16 Blocks,"Tasked with escorting a prosecution witness to court, an aging cop gears up for the 16-block trek – but they'll be lucky to make it there alive.",Movie,PG-13
72,17 Again,"Nearing a midlife crisis, thirty-something Mike wishes for a ""do-over"" – and that's exactly what he gets when he wakes up to find he's 17 again.",Movie,PG-13
73,18 Presents,A pregnant mother with terminal cancer leaves behind 18 sentimental gifts for her unborn daughter to receive every birthday until she reaches womanhood.,Movie,TV-MA
74,1898: Our Last Men in the Philippines,"While Spain relinquishes its last colonies, a battle-fatigued outpost engages in a long, brutal and sometimes bizarre clash with Filipino insurgents.",Movie,R
75,1BR,"Seeking her independence, a young woman moves to Los Angeles and settles into a cozy apartment complex with a disturbing sense of community.",Movie,TV-MA
76,1st Summoning,"Student filmmakers uncover occult rituals tied to an abandoned warehouse, then gradually realize the horror is closer than they think.",Movie,TV-MA
77,2 Alone in Paris,"A bumbling Paris policeman is doggedly determined to capture the master thief that repeatedly eludes him, even when they're the last two men on Earth.",Movie,TV-MA
78,2 States,"Graduate students Krish and Ananya hope to win their parents' approval before they marry, but the two families clash over their cultural differences.",Movie,TV-PG
79,20 Feet From Stardom,"Winner of the 2014 Academy Award for Best Documentary Feature, this film takes a look at the world of backup vocalists and the legends they support.",Movie,PG-13
80,20 Minutes,"When his wife is convicted of murder, a horrified family man races to prove her innocence while a dogged investigator sets out to uncover the truth.",TV Show,TV-MA
81,2015 Dream Concert,"The world's biggest K-pop festival marked its 21st year in 2015, with groups such as EXO, 4Minute and SHINee electrifying the Seoul World Cup Stadium.",Movie,TV-PG
82,2036 Origin Unknown,"Working with an artificial intelligence to investigate the failure of a deadly Mars landing, a mission controller makes an astonishing discovery.",Movie,TV-14
83,20th Century Women,"In 1979, single bohemian mom Dorothea, hoping to help her teen son find his place as a man, asks two young women to share their lives with him.",Movie,R
84,21 & Over,Jeff's straight-and-narrow life changes abruptly when his buddies take him out for a birthday bash – the night before a crucial med school interview.,Movie,R
85,21 Again,"In a social experiment, a group of daughters sends their mothers, disguised as 21-year-olds, into the world to experience life as a member of Gen Z.",TV Show,TV-MA
86,21 Sarfarosh: Saragarhi 1897,"In one of history's greatest last stands, a battalion of 21 Sikh soldiers fights to defend their outpost from attack by over 10,000 Afghans.",TV Show,TV-14
87,21 Thunder,"Players and coaches for a Montreal soccer team chase dreams of stardom while their personal lives erupt with love, fear, passion and violence.",TV Show,TV-MA
88,2307: Winter's Dream,"In the frozen tundra of a futuristic Arizona where humans have been forced underground, a soldier hunts the bioengineered leader of a rebellion.",Movie,TV-MA
89,24 Hours to Live,"Revived by an experimental procedure, a hit man gets to live an extra 24 hours – which he uses to avenge his dead wife and child and redeem himself.",Movie,R
90,25 Kille,"Four brothers learn that they have inherited ancestral land, but must fight to claim it when a greedy feudal lord threatens to take it over.",Movie,TV-14
91,26 Years,"Twenty-six years after the 1980 massacre at Gwangju, South Korea, three relatives of the victims come together to avenge the infamous orchestrator.",Movie,TV-MA
92,"27, el club de los malditos","After a musician dies under suspicious circumstances, a hard-drinking detective and a music fan investigate why rock stars often die at the age of 27.",Movie,TV-MA
93,27: Gone Too Soon,"Explore the circumstances surrounding the tragic deaths at 27 of Jimi Hendrix, Jim Morrison, Brian Jones, Janis Joplin, Kurt Cobain and Amy Winehouse.",Movie,TV-MA
94,28 Days,"After her drunken antics result in property damage, an alcoholic journalist enters rehab – and soon meets a fellow resident who changes her outlook.",Movie,PG-13
95,28 Moons,"When her fiancé acts strangely upon receiving a mysterious invitation, a florist sets out to find out the truth behind the tiny scrap of paper.",TV Show,TV-PG
96,3 Days to Kill,A terminally ill secret agent accepts a risky mission in exchange for an experimental drug that might save him – if he can survive its side effects.,Movie,PG-13
97,3 Deewarein,"A reporter interviews three convicts on death row for a documentary but as their stories emerge, so do her own true motivations for soliciting them.",Movie,TV-MA
98,3 Generations,"When teenage Ray begins transitioning from female to male, his single mom and grandmother must cope with the change while tracking down his father.",Movie,PG-13
99,3 Heroines,Three Indonesian women break records by becoming the first of their nation to medal in archery at the Seoul Olympics in the summer of 1988.,Movie,TV-PG
100,3 Idiots,"While attending one of India's premier colleges, three miserable engineering students and best friends struggle to beat the school's draconian system.",Movie,PG-13
101,3 Seconds Divorce,"A Muslim women's activist group in India protests against oral divorces, starting a movement to reclaim their religious and constitutional rights.",Movie,TV-PG
102,3 Türken & ein Baby,The lives of three dissatisfied brothers running a family bridal shop turn topsy-turvy when one of them has to care for his ex-girlfriend's baby.,Movie,TV-MA
103,30 Days of Luxury,"With the help of his friends, a man breaks out of prison in hopes of restoring a lively nightclub.",Movie,TV-14
104,30 Minutes or Less,Two crooks planning a bank heist wind up abducting a pizza delivery driver and force him to commit the robbery — with a strict time limit.,Movie,R
105,300 Miles to Heaven,"Hoping to help their dissident parents, two brothers sneak out of Poland and land as refugees in Denmark, where they are prevented from returning home.",Movie,TV-14
106,365 Days,"A fiery executive in a spiritless relationship falls victim to a dominant mafia boss, who imprisons her and gives her one year to fall in love with him.",Movie,TV-MA
107,37 Seconds,"Trapped by society and familial obligations, a young manga artist goes on an unconventional journey for sexual freedom and personal liberation.",Movie,TV-MA
109,40 Sticks,"When their prison bus crashes in a forest on a rainy night, a group of criminals finds themselves battling wild animals and a mysterious killer.",Movie,TV-14
110,42 Grams,"After launching a successful underground restaurant out of their apartment, an ambitious chef and his wife open an all-consuming upscale eatery.",Movie,TV-MA
112,45 rpm,"In 1960s Madrid, music producer Guillermo Rojas launches a rock 'n' roll label with the help of aspiring singer Robert and clever producer Maribel.",TV Show,TV-MA
114,4L,"Hoping to reunite with a dying friend, two longtime pals re-create their desert road trip from Spain to Mali, bringing along his estranged daughter.",Movie,TV-MA
116,4th Republic,"After the election-night murder of her campaign manager at a polling site, a gubernatorial candidate challenges the corrupt incumbent's victory.",Movie,TV-MA
117,5 Cowok Jagoan,Yanto asks his friends to help save a girlfriend who was kidnapped by a mobster. Silly slapstick and campy crimefighting ensues.,Movie,TV-MA
118,5 Flights Up,"A couple finds unexpected drama when, after 40 years of living in the same Brooklyn walk-up, they attempt to sell their apartment and buy a new one.",Movie,PG-13
119,5 Star Christmas,"When the Italian prime minister meets his lover and political rival while on an official trip to Budapest during Christmas week, things go topsy-turvy.",Movie,TV-14
120,5 to 7,A young novelist's life is turned upside down when a chance encounter outside a New York hotel leads to an intense affair with a diplomat's wife.,Movie,R
121,50 First Dates,"After falling for a pretty art teacher who has no short-term memory, a marine veterinarian has to win her over again every single day.",Movie,PG-13
122,50/50,An otherwise healthy twentysomething has a comically early midlife crisis when he gets slapped with a cancer diagnosis and a 50-50 chance of survival.,Movie,R
123,5CM,"Five friends embark on a mission to climb the highest peak in Java, overcoming obstacles on the way and discovering the true meaning of friendship.",Movie,TV-14
124,5Gang,"To keep the band together, Selly tries to earn money by making an appearance at the birthday party of a mobster's daughter — until he gets kidnapped.",Movie,TV-14
125,6 Balloons,A loyal sister struggles to stay afloat while driving her heroin-addicted brother to a detox center and looking after his 2-year-old daughter.,Movie,TV-MA
126,6 Days,"When armed gunmen seize the Iranian Embassy in 1980, a tense six-day standoff ensues while elite British soldiers prepare for a dangerous raid.",Movie,R
127,6 Underground,"After faking his death, a tech billionaire recruits a team of international operatives for a bold and bloody mission to take down a brutal dictator.",Movie,R
128,6 Years,"As a volatile young couple who have been together for six years approach college graduation, unexpected career opportunities threaten their future.",Movie,TV-MA
129,6-5=2,"Six friends decide to undertake a grueling mountain trek, only to find that the difficulties in store for them are not merely physical.",Movie,TV-MA
130,60 Days In,"Recruited by a sheriff, volunteers infiltrate county prisons to expose corruption and crime from within the system in this docuseries.",TV Show,TV-MA
131,68 Kill,A hapless guy agrees to help his stunning – but psychotic – girlfriend rob her loathsome sugar daddy in a scheme as ill-conceived as it is violent.,Movie,R
132,7 (Seven),"Multiple women report their husbands as missing but when it appears they are looking for the same man, a police officer traces their cryptic connection.",TV Show,TV-14
133,7 años,Loyalties are tested and cruelties revealed when four business partners spend a tense evening debating who will pay for the crime they committed.,Movie,TV-MA
134,7 Days Out,"Witness the excitement and drama behind the scenes in the seven days leading up to major live events in the worlds of sports, fashion, space and food.",TV Show,TV-PG
135,7 Din Mohabbat In,"Given just seven days by a genie to find a girl who will fall for him, a nerdy young man embarks on a madcap and messy search for his would-be wife.",Movie,TV-PG
136,7 Khoon Maaf,"Spiced liberally with black comedy, this Bollywood drama follows the lethal love life of a woman who marries numerous men – only to find them flawed.",Movie,TV-MA
137,72 Cutest Animals,This series examines the nature of cuteness and how adorability helps some animal species to survive and thrive in a variety of environments.,TV Show,TV-PG
138,72 Dangerous Animals: Asia,"From fangs to claws to venomous stings, they all wield deadly weapons. But which creature will be crowned the fiercest of all?",TV Show,TV-14
139,72 Dangerous Animals: Latin America,"Powerful cats, indestructible arachnids and flesh-melting pit vipers are just the beginning in this series about Latin America's deadliest creatures.",TV Show,TV-14
140,72 Dangerous Places to Live,"Get up close and personal with avalanches, fiery volcanoes and other natural cataclysms, and learn why some choose to live in their destructive paths.",TV Show,TV-PG
141,7SEEDS,"Shy Natsu awakens as part of a group chosen to ensure the survival of humanity. Together, they have to survive on a changed Earth.",TV Show,TV-MA
142,9 Months That Made You,"Witness the wonders of human gestation through cutting-edge CGI, and learn how those nine months inside the womb can affect all aspects of one's life.",TV Show,TV-PG
143,90 ML,Four friends shake up their lives when they meet a new woman in their apartment complex who encourages them to embrace their wild sides.,Movie,TV-MA
144,93 Days,Heroic health workers fight to contain an Ebola outbreak when a patient arrives in Lagos with symptoms of the deadly virus. Based on a true story.,Movie,TV-PG
146,A 3 Minute Hug,This documentary captures the joy and heartbreak of families separated by the U.S.-Mexico border sharing a short but bittersweet reunion in 2018.,Movie,TV-PG
147,A Babysitter's Guide to Monster Hunting,"Recruited by a secret society of babysitters, a high schooler battles the Boogeyman and his monsters when they nab the boy she's watching on Halloween.",Movie,TV-PG
148,A Bad Moms Christmas,"Stressed-out moms Amy, Carla and Kiki are back, and the looming Christmas holiday gets even more daunting when their mothers show up for a visit.",Movie,R
149,A Beautiful Life,"After meeting under awkward circumstances, a glamorous businesswoman and a tradition-bound policeman begin a relationship that changes their lives.",Movie,TV-14
150,A Billion Colour Story,The curious child of idealistic interfaith parents observes an increasingly intolerant world as his family faces financial strain.,Movie,TV-14
152,A Boy Name Flora A,A 28-year-old layabout begins to re-examine his life when his dysfunctional family assembles to pay respects to a dying grandmother who won’t pass on.,TV Show,TV-MA
154,A California Christmas,"With his carefree lifestyle on the line, a wealthy charmer poses as a ranch hand to get a hardworking farmer to sell her family’s land before Christmas.",Movie,PG-13
156,A Chaster Marriage,"Forced to wed his childhood friend, a man obsessed with football attempts to get rid of his wife in order to keep the woman he truly loves.",Movie,TV-14
157,A Choo,"Determined to win the heart of his childhood crush from orphanage, EJ becomes a boxer with superpowers and soon confronts a formidable villain.",Movie,TV-14
159,A Christmas Prince,Christmas comes early for an aspiring young journalist when she's sent abroad to get the scoop on a dashing prince who's poised to be king.,Movie,TV-PG
160,A Christmas Prince: The Royal Baby,"Christmas brings the ultimate gift to Aldovia: a royal baby. But first, Queen Amber must save her family and kingdom by unwrapping a monarchy mystery.",Movie,TV-PG
161,A Christmas Prince: The Royal Wedding,"A year after helping Richard secure the crown, Amber returns to Aldovia to plan their wedding. But her simple tastes clash with royal protocol.",Movie,TV-PG
165,A Clockwork Orange,"In this dark satire from director Stanley Kubrick, a young, vicious sociopath in a dystopian England undergoes an experimental rehabilitation therapy.",Movie,R
166,A Dangerous Woman,"At the center of this engrossing melodrama is a Golden Globe-nominated turn by Debra Winger, who plays a sheltered, slow-witted woman living with her widowed Aunt Frances while working at a dry cleaners.",Movie,R
168,A Fall from Grace,"When gentle, law-abiding Grace confesses to killing her new husband, her skeptical young lawyer sets out to uncover the truth. A film by Tyler Perry.",Movie,TV-MA
169,A Family Affair,The filmmaker hunts for the missing puzzle pieces of his family history during a visit with a complex and controversial figure: his grandmother.,Movie,TV-PG
170,A Family Man,A ruthless corporate headhunter battles his rival for a promotion while dealing with a family crisis that threatens to derail his career.,Movie,R
171,A Family Reunion Christmas,M'Dear and her sisters struggle to keep their singing act together before a church Christmas pageant while Grandpa teaches the kids a valuable lesson.,Movie,TV-PG
172,A Flying Jatt,A timid man gets unexpected superpowers while trying to save his family's land and a sacred tree from a ruthless tycoon.,Movie,TV-14
173,A Fortunate Man,"A gifted engineer flees his austere roots to pursue wealth and success among Copenhagen's elite, but the pride propelling him threatens to be his ruin.",Movie,TV-MA
174,A Futile and Stupid Gesture,"In a brief life full of triumph and failure, ""National Lampoon"" co-founder Doug Kenney built a comedy empire, molding pop culture in the 1970s.",Movie,TV-MA
175,A Ghost Story,"Following a fatal car crash, a man's spirit remains stuck in the home he shared with his wife as doors into the past and future begin to open.",Movie,R
176,A Glimpse Inside the Mind of Charles Swan III,"When his girlfriend walks out and leaves him a wreck, a graphic designer – who seemed to have it all – sets out to discover where he went wrong.",Movie,R
177,A Go! Go! Cory Carson Christmas,"When a familiar-looking stranger crashes in without a memory, Cory helps him remember the magic of Christmas to save the holiday for everyone.",Movie,TV-Y
178,A Go! Go! Cory Carson Halloween,"Cory, Chrissy and Freddie are on the hunt for king-sized candy bars this Halloween! But are all the treats worth the trek to the spooky side of town?",Movie,TV-Y
179,A Go! Go! Cory Carson Summer Camp,"Cory's spending the summer at Camp Friendship with his best friend, Freddie. But jealousy flares when Freddie brings his cousin Rosie along for the ride.",Movie,TV-Y
180,A Good Wife,"As her seemingly idyllic life begins to crumble, a lonely woman in a restrictive marriage starts an affair with a gentle bookstore owner.",TV Show,TV-14
181,A Grand Night In: The Story of Aardman,"Aardman Animations icons Wallace & Gromit, Morph and more join fans and collaborators for a retrospective celebrating the studio's 40th anniversary.",Movie,TV-PG
182,A Gray State,"This documentary dissects the case of a filmmaker whose death, along with the deaths of his wife and daughter, sparked alt-right conspiracy theories.",Movie,TV-MA
183,A Haunted House,"This spoof on scary movies follows a young couple settling into a new home, where an evil spirit — and horrifyingly hilarious antics — await.",Movie,R
184,A Haunting at Silver Falls: The Return,"When the ghost of her serial killer aunt seemingly resurfaces, Jordan must return to Silver Falls in hopes of finally putting an end to the torment.",Movie,TV-14
185,A Heavy Heart,"Long past his heyday, a still-virile boxer tries to reconnect with his daughter as he confronts the onset of a terminal, degenerative neural disorder.",Movie,TV-MA
187,A Home with A View,"When a neighbor blocks their view of the city with a commercial billboard, a Hong Kong family resorts to drastic, imaginative measures to take it down.",Movie,TV-MA
188,A House of Blocks,"Yijuan and her mentally ill sister Kaiqi struggle to be happy in the face of misfortune, criminal intrigue, marital strife, an exorcism and a ghost.",TV Show,TV-PG
189,A Kid from Coney Island,"From gifted athlete to professional NBA hooper, Coney Island's Stephon Marbury navigates the pressures, pitfalls and peaks of his basketball journey.",Movie,TV-MA
190,A Kind of Murder,"Obsessed with an unsolved murder case, a crime novelist stuck in an unhappy marriage fantasizes about killing his wife, who soon turns up dead.",Movie,R
191,A Korean Odyssey,A self-serving mythical creature's bid for invincibility backfires when he finds himself at the mercy of a woman who can see otherworldly beings.,TV Show,TV-MA
192,A Land Imagined,A cop in Singapore investigates the disappearance of a Chinese migrant construction worker who spent sleepless nights playing a mysterious video game.,Movie,TV-MA
193,A Leaf of Faith,"This documentary takes a deep dive into the benefits, dangers and lingering questions around Kratom leaf as an alternative to opioid painkillers.",Movie,TV-MA
194,A Life of Speed: The Juan Manuel Fangio Story,"Juan Manuel Fangio was the Formula One king, winning five world championships in the early 1950s — before protective gear or safety features were used.",Movie,TV-14
195,A Lion in the House,Five kids and their resilient families navigate the treatments and traumas of pediatric cancer in this documentary filmed over the course of six years.,TV Show,TV-14
196,A Little Chaos,"A willful young woman is hired to design a garden at Versailles for Louis XIV. Soon, she's ensnared in political and romantic complications.",Movie,R
199,A Love So Beautiful,"Love is as tough as it is sweet for a lovestruck teenager, whose relationship with her next-door neighbor transforms as they grow into adulthood.",TV Show,TV-PG
200,A Love Song for Latasha,The killing of Latasha Harlins became a flashpoint for the 1992 LA uprising. This documentary evocatively explores the 15-year-old's life and dreams.,Movie,TV-PG
201,A Love Story,"Self-made millionaire Ian thinks he's found happiness when he marries caring Joanna, but his love is put to the test when he meets stewardess Karyn.",Movie,TV-14
202,A Man Called God,"Raised in America, government agent Choi Kang-Ta returns to Korea with the skills of an assassin and a thirst for revenge on his father’s killers.",TV Show,TV-14
203,A Mighty Team,"When a fit of anger leads to a serious injury, a sidelined soccer star returns to his hometown and reluctantly agrees to train the local youth.",Movie,TV-MA
204,A Mission in an Old Movie,A young man struggles with his overbearing mother while looking for romance and a way to kick-start his show business career.,Movie,TV-MA
205,A Monster Calls,"Overwhelmed by his mother’s illness, a young boy begins to understand human complexity through the fantastic tales of a consoling tree monster.",Movie,PG-13
206,A Most Violent Year,Abel Morales tries to avoid corruption's easy path as he pursues the American Dream amid an increasingly violent business war in 1981 New York City.,Movie,R
207,A Murder in the Park,"This documentary excoriates a noted anti-death-penalty activist and his team, whose questionable methods got a convicted killer freed in 1999.",Movie,PG-13
208,A new Capitalism,"Entrepreneurs worldwide explore alternatives to current capitalist structures, advocating for profitable businesses that also tackle social inequality.",Movie,TV-14
209,A New York Christmas Wedding,"As her wedding nears, a bride-to-be is visited by an angel who reveals what could have been if she'd followed feelings for her childhood best friend.",Movie,TV-MA
210,A Night at the Roxbury,"After a run-in with Richard Grieco, dimwits Doug and Steve gain entry to a swanky nightclub in this comedy based on a ""Saturday Night Live"" sketch.",Movie,PG-13
211,A Noble Intention,"In 1888 Amsterdam, a headstrong violin maker finds himself immersed in peril and tragedy after challenging businessmen who threaten his community.",Movie,TV-MA
212,A Patch of Fog,"When a guard catches a writer-television host shoplifting, instead of turning him in, he only asks to be a friend, then begins to rule his life.",Movie,TV-MA
213,A Perfect Crime,"This docuseries investigates the 1991 killing of politician Detlev Rohwedder, an unsolved mystery at the heart of Germany's tumultuous reunification.",TV Show,TV-14
214,A Perfect Ending,"After confessing an unusual secret, a repressed wife – prompted by her friends – decides to explore her sexuality with a high-priced call girl.",Movie,TV-MA
215,A Perfect Man,"Nina thinks her husband, James, is cheating on her, and she sets out to prove it by calling him and pretending to be another woman.",Movie,R
216,A Plastic Ocean,"When he discovers the world's oceans brimming with plastic waste, a documentary filmmaker investigates the pollution's environmental impacts.",Movie,TV-14
217,A Princess for Christmas,"At the invitation of a relative, young Jules Daly travels with her niece and nephew to a castle in Europe, where Jules falls for a dashing prince.",Movie,TV-PG
218,A Queen Is Born,Gloria Groove and Alexia Twister make drag dreams come true as they help six artists find the confidence to own the stage in this makeover show.,TV Show,TV-14
219,A Remarkable Tale,"The residents of an isolated town look to revive their home's identity when a group of foreigners unexpectedly arrive, bringing culture shock with them.",Movie,TV-MA
